2021-01-05T03:53:15-05:00	SubstantialAdvent	45717	9.269
2021-01-21T08:59:22-05:00	FabulousSuburb	18925	8.957
2021-01-24T21:28:03-05:00	FabulousSuburb	27560	5.114
2021-02-02T11:13:34-05:00	NutritiousSuggestion	14816	9.258
2021-02-11T13:57:10-05:00	QuixoticZoology	32473	1.087
2021-02-18T23:33:27-05:00	UnadvisedSorrow	46888	1.027
2021-02-27T20:34:05-05:00	ScandalousCheetah	36915	7.746
2021-03-10T02:39:29-05:00	VersedCattle	21090	1.897
2021-03-18T14:33:15-04:00	GarrulousTractor	26529	5.7059999999999995
2021-04-03T05:53:59-04:00	UglySubway	47028	2.699
2021-04-03T09:09:31-04:00	UglySubway	22233	4.079
2021-04-10T05:28:49-04:00	UglySubway	41776	4.672
2021-04-20T06:19:07-04:00	SubstantialAdvent	20566	3.585
2021-04-23T13:00:41-04:00	GiganticInteger	41464	0.512
2021-05-11T14:56:23-04:00	UglySubway	11589	6.635
2021-05-12T00:50:29-04:00	TangyMacaroon	46435	1.404
2021-05-15T11:23:28-04:00	DomineeringRight	22590	2.939
2021-05-17T00:06:26-04:00	UglySubway	10247	5.366
2021-05-19T20:24:32-04:00	SoggyPlate	16867	7.569
2021-05-25T15:18:53-04:00	VersedCattle	13853	3.957
2021-06-04T08:57:33-04:00	DomineeringRight	10313	4.221
2021-06-09T11:26:43-04:00	GiganticInteger	28704	1.007
2021-06-09T15:47:48-04:00	TangyMacaroon	11669	2.079
2021-06-10T15:04:33-04:00	VersedCattle	32733	1.306
2021-06-19T00:15:30-04:00	VictoriousBore	12956	7.227
2021-06-27T20:35:11-04:00	UglySubway	16374	9.253
2021-07-01T14:40:40-04:00	TangyMacaroon	36680	1.417
2021-07-01T21:37:12-04:00	UnadvisedSorrow	28952	5.293
2021-07-09T13:59:33-04:00	VictoriousBore	28635	7.761
2021-08-03T00:43:37-04:00	QuixoticZoology	30155	0.247
2021-08-19T20:40:34-04:00	SubstantialAdvent	46440	0.836
2021-09-01T06:40:39-04:00	DomineeringRight	43529	0.872
2021-09-12T20:34:33-04:00	UglySubway	35784	0.132
2021-09-15T16:55:49-04:00	QuixoticZoology	40885	9.496
2021-09-17T13:26:16-04:00	SubstantialAdvent	38970	3.5
2021-09-28T20:02:57-04:00	FabulousSuburb	48721	9.501
2021-10-04T18:51:58-04:00	ScandalousCheetah	44792	9.384
2021-10-06T10:57:57-04:00	NutritiousSuggestion	49556	8.893
2021-10-06T22:49:52-04:00	GiganticInteger	44014	1.048
2021-10-19T23:06:53-04:00	VictoriousBore	42743	2.252
2021-10-20T11:33:21-04:00	AccessibleRevitalisation	19825	3.976
2021-10-20T19:04:17-04:00	AccessibleRevitalisation	27245	7.798
2021-10-30T10:06:47-04:00	TangyMacaroon	22164	7.975
2021-11-03T20:29:50-04:00	QuixoticZoology	36031	4.553
2021-11-07T16:27:02-05:00	UnadvisedSorrow	17623	5.477
2021-12-03T13:59:51-05:00	QuixoticZoology	21806	4.539
2021-12-10T07:21:12-05:00	UglySubway	48003	6.672
2021-12-18T22:19:06-05:00	SubstantialAdvent	44355	6.046
2021-12-28T14:41:25-05:00	TangyMacaroon	32553	6.12
2021-12-30T01:09:14-05:00	UnadvisedSorrow	31478	3.516
2022-01-07T01:28:10-05:00	VersedCattle	29442	9.928
2022-01-09T22:09:28-05:00	AccessibleRevitalisation	23538	7.846
2022-01-30T04:45:10-05:00	UnadvisedSorrow	12718	2.167
2022-01-31T19:15:07-05:00	UglySubway	11984	1.183
2022-02-03T11:45:16-05:00	ScandalousCheetah	47612	4.6530000000000005
2022-02-04T19:45:06-05:00	VersedCattle	23028	0.055
2022-02-10T11:49:38-05:00	VictoriousBore	35249	0.41
2022-02-15T02:49:57-05:00	UglySubway	37115	9.46
2022-03-01T05:50:46-05:00	DomineeringRight	14924	9.433
2022-03-08T18:10:15-05:00	ScandalousCheetah	27503	5.8309999999999995
2022-03-17T11:45:05-04:00	GarrulousTractor	10368	4.271
2022-03-22T08:41:13-04:00	ScandalousCheetah	92807	4.531
2022-06-07T06:22:00-04:00	UglySubway	33604	2.7640000000000002
2022-06-12T05:04:26-04:00	VersedCattle	48512	7.181
2022-06-19T15:36:07-04:00	NutritiousSuggestion	42267	7.224
2022-06-25T21:20:28-04:00	UglySubway	47425	5.372
2022-07-02T03:11:16-04:00	VersedCattle	37546	3.768
